    380 nm    0.0002000   0.0002280   0.0002610   0.0002990   0.0003440
    385 nm    0.0003960   0.0004550   0.0005250   0.0006040   0.0006960
    390 nm    0.0008000   0.0009160   0.0010500   0.0012000   0.0013600
    395 nm    0.0015500   0.0017500   0.0018800   0.0022300   0.0025000
    400 nm    0.0028000   0.0031200   0.0034600   0.0038300   0.0042300
    405 nm    0.0046600   0.0051200   0.0056200   0.0061700   0.0067600
    410 nm    0.0074000   0.0081500   0.0089600   0.0098300   0.0108000
    415 nm    0.0118000   0.0128000   0.0140000   0.0151000   0.0163000
    420 nm    0.0175000   0.0186000   0.0196000   0.0207000   0.0217000
    425 nm    0.0227000   0.0236000   0.0246000   0.0255000   0.0264000
    430 nm    0.0273000   0.0283000   0.0294000   0.0304000   0.0315000
    435 nm    0.0326000   0.0337000   0.0347000   0.0358000   0.0369000
    440 nm    0.0379000   0.0388000   0.0398000   0.0406000   0.0415000
    445 nm    0.0424000   0.0433000   0.0441000   0.0450000   0.0459000
    450 nm    0.0468000   0.0477000   0.0487000   0.0498000   0.0509000
    455 nm    0.0521000   0.0534000   0.0549000   0.0564000   0.0581000
    460 nm    0.0600000   0.0626000   0.0653000   0.0680000   0.0709000
    465 nm    0.0739000   0.0770000   0.0803000   0.0837000   0.0872000
    470 nm    0.0910000   0.0949000   0.0990000   0.1040000   0.1080000
    475 nm    0.1130000   0.1180000   0.1230000   0.1280000   0.1330000
    480 nm    0.1390000   0.1450000   0.1500000   0.1560000   0.1630000
    485 nm    0.1690000   0.1760000   0.1840000   0.1910000   0.1990000
    490 nm    0.2080000   0.2170000   0.2270000   0.2370000   0.2470000
    495 nm    0.2590000   0.2700000   0.2822900   0.2950500   0.3085700
    500 nm    0.3230000   0.3384000   0.3546800   0.3716900   0.3892800
    505 nm    0.4073000   0.4256200   0.4443000   0.4633900   0.4829300
    510 nm    0.5030000   0.5235600   0.5445100   0.5656900   0.5869600
    515 nm    0.6082000   0.6293400   0.6503000   0.6708700   0.6908400
    520 nm    0.7100000   0.7281800   0.7454600   0.7619600   0.7778300
    525 nm    0.7932000   0.8081100   0.8224900   0.8363000   0.8494900
    530 nm    0.8620000   0.8738100   0.8849600   0.8954900   0.9054400
    535 nm    0.9148500   0.9237300   0.9320900   0.9399200   0.9472200
    540 nm    0.9540000   0.9602500   0.9660000   0.9712600   0.9760200
    545 nm    0.9803000   0.9840900   0.9874800   0.9903100   0.9928100
    550 nm    0.9949500   0.9967100   0.9980900   0.9991100   0.9997400
    555 nm    1.0000000   0.9998500   0.9993000   0.9983200   0.9968900
    560 nm    0.9950000   0.9926000   0.9897400   0.9864400   0.9827200
    565 nm    0.9786000   0.9740800   0.9691700   0.9638500   0.9581300
    570 nm    0.9520000   0.9454500   0.9384900   0.9311600   0.9234500
    575 nm    0.9154000   0.9070000   0.8982700   0.8892000   0.8797800
    580 nm    0.8700000   0.8598600   0.8493900   0.8386200   0.8275800
    585 nm    0.8163000   0.8047900   0.7930800   0.7811900   0.7691500
    590 nm    0.7570000   0.7447500   0.7324200   0.7200000   0.7074900
    595 nm    0.6949000   0.6822100   0.6694700   0.6567400   0.6438400
    600 nm    0.6310000   0.6181500   0.6053100   0.5924700   0.5796300
    605 nm    0.5668000   0.5539600   0.5411300   0.5283500   0.5156300
